id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,City Blocks,MC Terrain,hip-hop,melancholic,0.72,95,0.35,0.80,0.12
12,Velvet Nights,Sasha Monroe,r&b,romantic,0.55,88,0.68,0.70,0.45
13,Moonlit Sonata,Clara Voss,classical,peaceful,0.22,68,0.72,0.28,0.97
14,Back Road Gospel,Dusty Fields,country,nostalgic,0.58,104,0.74,0.62,0.68
15,Iron Throne,Shatter Point,metal,angry,0.97,168,0.28,0.55,0.04
16,Drop Zone,Flux State,edm,energetic,0.94,138,0.65,0.92,0.06
17,Island Breeze,Roots and Tide,reggae,uplifting,0.60,82,0.88,0.76,0.55
18,Fuego Lento,Casa Ritmo,latin,happy,0.80,116,0.90,0.88,0.25
19,Pine Road,Ember Folk,folk,sad,0.30,74,0.25,0.38,0.88
20,3 AM Blues,Harp Street,blues,melancholic,0.45,70,0.32,0.48,0.76
